date,se,wt,std_wt_24m
2015-02-28,,,
2015-03-31,,,
2015-04-30,,,
2015-05-31,,,
2015-06-30,,,
2015-07-31,,,
2015-08-31,,,
2015-09-30,,,
2015-10-31,,,
2015-11-30,,,
2015-12-31,,,
2016-01-31,,,
2016-02-29,,,
2016-03-31,0.06751580618941816,0.5,
2016-04-30,0.07296139728991888,0.4813678024897454,
2016-05-31,0.07389230752841162,0.48363288462096155,
2016-06-30,0.07377808556978607,0.48839467939313963,
2016-07-31,0.0720897907356019,0.49997379943899034,
2016-08-31,0.0683141510421665,0.5225734236572394,
2016-09-30,0.0649151959624311,0.5416783676865015,
2016-10-31,0.06350536274464047,0.5466015581528648,
2016-11-30,0.06755631783273755,0.5141058475725273,
2016-12-31,0.06750530411597455,0.513072788533156,
2017-01-31,0.06910390249807255,0.5012487205320877,
2017-02-28,0.0700892823532494,0.494660695595206,0.021176220271742333
2017-03-31,0.06887069472356874,0.5031678311223349,0.020306676378534363
2017-04-30,0.06815042659139282,0.5078314741985154,0.01951141418500475
2017-05-31,0.06848286139876107,0.5050425621819083,0.018808615317571963
2017-06-30,0.06773821764977934,0.5098639019475235,0.01818605065074825
2017-07-31,0.06729151607233348,0.5124148301666576,0.017656112285288343
2017-08-31,0.06608900352973819,0.5202784156202819,0.017396236913747334
2017-09-30,0.06524628652763335,0.5253477336019552,0.01736267120688837
2017-10-31,0.0656870919972814,0.5209352398733226,0.017108543325974012
2017-11-30,0.06523784075824153,0.5232535329381,0.01693905901823758
2017-12-31,0.06445536256670897,0.5280142702155514,0.016958693595539896
2018-01-31,0.06646056386953053,0.5121832901433527,0.016570423140902565
2018-02-28,0.06664602681723762,0.5103503794467696,0.01620694497654133
2018-03-31,0.06909494440918484,0.49262156222860154,0.016493768467247392
2018-04-30,0.06854093386443524,0.4967761090831999,0.015573520575837939
2018-05-31,0.06796481800029665,0.5009597013222311,0.014600715375105324
2018-06-30,0.06827564596416018,0.4987255619730947,0.014010599069234122
2018-07-31,0.06860796140622115,0.4964264704151872,0.01416709878119986
2018-08-31,0.06956695755276886,0.4898449345457134,0.014712183626703635
2018-09-30,0.06971847633095102,0.4891281467815006,0.013841682947922701
2018-10-31,0.07572810444746622,0.44976261906087983,0.016266388680471852
2018-11-30,0.07697372390447685,0.4436671749792263,0.020360210095183635
2018-12-31,0.07949239634560518,0.43025433740071567,0.024896924730148665
2019-01-31,0.08164935507681806,0.4199257071036102,0.029590763362859266
2019-02-28,0.0803880617349501,0.42982416341180163,0.03245028568968887
2019-03-31,0.08062075947115047,0.43061140459633,0.03470119040279144
2019-04-30,0.0823053941030629,0.4229153922284172,0.036987067236361894
2019-05-31,0.08462944744759757,0.41211692015502305,0.039652595453532356
2019-06-30,0.08706232361889668,0.40149420688543597,0.042407323526615595
2019-07-31,0.08776422892738607,0.4006340264108464,0.04448315784767511
2019-08-31,0.0877427125514479,0.40357057424335,0.04543083238388831
2019-09-30,0.08767812988231367,0.40657686045608243,0.0453685711701059
2019-10-31,0.08899582762603263,0.40213318982461566,0.04524673006345927
2019-11-30,0.08890746143101715,0.40518555786436006,0.044249971816332695
2019-12-31,0.08978606122239571,0.4030381905955938,0.04236044139520867
2020-01-31,0.09053516027461536,0.401617253295649,0.04105335605249284
2020-02-29,0.09402772959051399,0.38654342258185453,0.04002165277896222
2020-03-31,0.09653870314590356,0.37732118326017056,0.04011231229477776
2020-04-30,0.10315776557776876,0.35068413482982014,0.04113183214228095
2020-05-31,0.10437111833714788,0.3493230490242961,0.040956141705933785
2020-06-30,0.10435246698950942,0.35315093928448993,0.039687421881236286
2020-07-31,0.10463285675722203,0.3555270864878411,0.03744953946124168
2020-08-31,0.10815523696029583,0.3443764498547353,0.035509592880410716
2020-09-30,0.11173356716576252,0.3339522512337437,0.03317528019130196
2020-10-31,0.11074747159409355,0.3417180725630842,0.03295278713707363
2020-11-30,0.10967695024102705,0.34961344326159494,0.03211359474003607
2020-12-31,0.10743998586507678,0.3621422456978255,0.031214553646519785
2021-01-31,0.10528601596914304,0.3742741988291158,0.03038421724443581
2021-02-28,0.10694228463086612,0.36978658380412016,0.028815198440970257
2021-03-31,0.10740105010709522,0.37052220258547447,0.02683832229512862
2021-04-30,0.10645936741080426,0.3771581989855781,0.0250968411385699
2021-05-31,0.1044116115232721,0.38853246930062973,0.024076567437466223
2021-06-30,0.10211828903734929,0.4010238318732757,0.024054558286890727
2021-07-31,0.10187722745637151,0.4039541346356664,0.024215297484698126
2021-08-31,0.10188361890241766,0.4056543008582696,0.024323853037875355
2021-09-30,0.10309220230988621,0.4017669425213375,0.024075865824928305
2021-10-31,0.10360105090172336,0.4011741925450801,0.024030277541163103
2021-11-30,0.10587001878139086,0.3927329887839397,0.02348600040391888
2021-12-31,0.10673171568467073,0.3908074219263611,0.022974111450031847
2022-01-31,0.10795696202392804,0.38736414053083773,0.02241485009588443
2022-02-28,0.10740169556106809,0.3916763625592479,0.022566572949760343
2022-03-31,0.10489043128473272,0.40458913057430773,0.023415384416132917
2022-04-30,0.10369064024257309,0.41157286645890584,0.023951623903594947
2022-05-31,0.10416163702195051,0.41080331536834913,0.024083244634941627
2022-06-30,0.10531622720327549,0.40695276901491856,0.023963435271588396
2022-07-31,0.10836177562411457,0.39494611103617006,0.023385170166515278
2022-08-31,0.1049294922183007,0.4117793811512645,0.02244233574543647
2022-09-30,0.10322904285078219,0.42089346041392256,0.020461282242777004
2022-10-31,0.10249856476129993,0.42544563141412556,0.018861755924021954
2022-11-30,0.10745372332360192,0.40397720609743387,0.01640867589926992
2022-12-31,0.10987619598865939,0.3948638667574743,0.014726311802933295
2023-01-31,0.11610276407109736,0.370837891775044,0.014977462673828596
2023-02-28,0.11799536047070336,0.3653897679960428,0.01535274363139626
2023-03-31,0.12019319880650636,0.3590328503414987,0.01636848892133124
2023-04-30,0.12130445181013642,0.35697934891526384,0.017870054364568348
2023-05-31,0.12327039115244018,0.3518734817201264,0.019974294847998782
2023-06-30,0.12436120648695696,0.3501126852109416,0.021857189294992127
2023-07-31,0.12409889465964144,0.35323865073196553,0.023097771534802993
2023-08-31,0.12462357141724482,0.3534495996122503,0.0240175703840587
2023-09-30,0.12483364065178996,0.35476934446684066,0.024751933464955203
2023-10-31,0.12430890498934029,0.35869796500552736,0.025139243802256878
2023-11-30,0.12376329428178359,0.3626332484061644,0.02544826083642755
2023-12-31,0.12280502197074927,0.3680326114199722,0.02556992046740845
